image_id,A,B,C,Cancer,Link to
ISIC_0001769,1,1,1,1,ISIC_0001769
ISIC_0001852,0,1,2,1,ISIC_0001852
ISIC_0001871,2,2,2,1,ISIC_0001871
ISIC_0003462,2,2,2,1,ISIC_0003462
ISIC_0003539,2,2,2,1,ISIC_0003539
ISIC_0003582,2,2,2,1,ISIC_0003582
ISIC_0003657,2,2,2,1,ISIC_0003657
ISIC_0003805,2,2,2,1,ISIC_0003805
ISIC_0004337,1,2,2,1,ISIC_0004337
ISIC_0006651,1,2,2,1,ISIC_0006651
ISIC_0006671,1,1,1,0,ISIC_0006671
ISIC_0006815,1,1,0,0,ISIC_0006815
ISIC_0006914,1,1,1,1,ISIC_0006914
ISIC_0007141,2,1,0,1,ISIC_0007141
ISIC_0007156,1,2,2,1,ISIC_0007156
ISIC_0007235,1,2,2,1,ISIC_0007235
ISIC_0007241,2,2,2,1,ISIC_0007241
ISIC_0007332,2,2,2,1,ISIC_0007332
ISIC_0007344,2,2,2,1,ISIC_0007344
ISIC_0007528,2,2,1,1,ISIC_0007528
ISIC_0007796,2,2,2,1,ISIC_0007796
ISIC_0008025,2,2,2,1,ISIC_0008025
ISIC_0008524,2,2,2,1,ISIC_0008524
ISIC_0009995,2,2,2,1,ISIC_0009995
ISIC_0010459,0,0,0,0,ISIC_0010459
ISIC_0012099,2,2,2,1,ISIC_0012099
ISIC_0012109,1,2,1,1,ISIC_0012109
ISIC_0012126,1,2,1,1,ISIC_0012126
ISIC_0012127,1,1,1,0,ISIC_0012127
ISIC_0012143,2,2,2,1,ISIC_0012143
ISIC_0012151,2,2,2,1,ISIC_0012151
ISIC_0012159,0,0,0,0,ISIC_0012159
ISIC_0012160,0,0,0,0,ISIC_0012160
ISIC_0012191,2,2,2,1,ISIC_0012191
ISIC_0012201,2,2,2,1,ISIC_0012201
ISIC_0012204,1,1,1,1,ISIC_0012204
ISIC_0012206,2,2,2,1,ISIC_0012206
ISIC_0012210,0,0,0,0,ISIC_0012210
ISIC_0012221,0,0,0,0,ISIC_0012221
ISIC_0012222,1,1,1,0,ISIC_0012222
ISIC_0012254,0,0,0,0,ISIC_0012254
ISIC_0012256,0,0,0,0,ISIC_0012256
ISIC_0012288,2,2,1,1,ISIC_0012288
ISIC_0012306,0,0,0,0,ISIC_0012306
ISIC_0012313,0,0,1,0,ISIC_0012313
ISIC_0012316,0,1,1,0,ISIC_0012316
ISIC_0012335,1,1,1,1,ISIC_0012335
ISIC_0012380,2,2,2,1,ISIC_0012380
ISIC_0012383,2,2,2,1,ISIC_0012383
ISIC_0012400,2,2,2,1,ISIC_0012400